machineID,spindle_speed [RPM],feed_rate [mm/min],tool_temperature [°C],vibration_level [m/s²],power_consumption [kW],tool_wear [min],failure_type
4758,1252.77,259.46,951928.36,1.85,4.71,0.0,3
4759,1177.74,254.84,952138.61,1.95,4.68,0.0,1
4760,1150.85,263.57,952335.35,1.51,5.27,0.0,4
4761,1040.62,117.82,952532.72,1.21,5.68,0.0,1
4762,1301.84,238.56,952728.32,1.5,4.83,0.0,2
4763,1204.97,270.76,952927.24,1.34,4.18,0.0,5
4764,1039.82,263.56,953119.62,1.45,4.3,0.0,3
4765,1018.16,129.07,953320.21,1.74,5.33,0.0,2
4766,1377.17,163.69,953524.7,1.84,4.29,0.0,2
4767,1307.56,202.02,953716.73,1.59,5.24,0.0,2
4768,1238.34,154.81,953908.03,0.94,4.25,0.0,3
4769,1053.3,147.99,954105.89,1.91,5.69,0.0,0
4770,1173.52,260.71,954307.13,1.9,5.16,0.0,3
4771,1096.79,258.7,954503.69,1.43,5.55,0.0,5
4772,1163.56,280.33,954699.34,1.0,3.89,0.0,2
4773,1178.31,212.26,954897.49,1.52,4.75,0.0,0
4774,1127.47,198.93,955092.34,1.74,4.63,0.0,4
4775,1060.62,271.88,955294.36,1.78,4.89,0.0,0
4776,1273.87,270.3,955491.97,1.59,5.36,0.0,5
4777,1224.93,170.23,955687.9,1.63,5.33,0.0,1
4778,1254.86,212.92,955895.34,1.23,4.4,0.0,0
4779,1313.49,287.22,956098.77,1.77,4.56,0.0,1
4780,1310.29,112.16,956295.43,2.12,5.41,0.0,2
4781,1366.32,105.79,956498.01,1.56,4.51,0.0,1
4782,1292.59,112.74,956697.59,1.49,4.99,0.0,0
4783,1245.91,156.19,956896.79,1.69,5.02,0.0,5
4784,1158.77,268.53,957092.15,1.42,4.92,0.0,2
4785,1071.03,191.38,957300.32,1.29,4.51,0.0,5
4786,1259.03,156.31,957497.62,1.24,5.38,0.0,5
4787,1170.79,248.54,957702.71,1.55,4.62,0.0,1
4788,1399.76,234.77,957904.02,1.48,4.45,0.0,0
4789,1149.54,103.69,958101.83,1.62,4.91,0.0,1
4790,1228.01,119.71,958308.32,1.79,4.65,0.0,2
4791,1228.47,155.38,958513.19,1.63,5.17,0.0,2
4792,1052.68,266.58,958718.05,1.47,5.22,0.0,5
4793,1123.49,290.11,958921.27,1.29,5.12,0.0,5
4794,1001.33,203.09,959125.35,2.07,4.0,0.0,4
4795,1227.45,138.85,959330.89,1.56,5.21,0.0,0
4796,1218.67,212.53,959530.32,1.52,4.38,0.0,1
4797,1274.38,106.45,959729.83,1.36,5.67,0.0,4
4798,1127.48,216.72,959921.38,1.06,5.03,0.0,2
4799,1094.05,169.45,960127.99,1.47,4.54,0.0,2
4800,1167.8,205.92,960324.12,1.67,4.37,0.0,0
4801,1241.33,248.15,960513.02,1.68,4.02,0.0,1
4802,1091.7,139.28,960718.7,1.45,5.1,0.0,0
4803,1238.18,286.15,960912.02,1.65,5.25,0.0,2
4804,1249.03,155.72,961114.4,1.13,4.74,0.0,2
4805,1282.03,221.21,961309.56,1.31,5.97,0.0,4
4806,1164.25,214.69,961507.25,1.67,4.79,0.0,0
4807,1208.71,156.81,961707.59,1.51,5.02,0.0,1
4808,1322.85,114.12,961914.29,1.65,4.34,0.0,5
4809,1130.0,229.2,962113.6,1.65,4.69,0.0,3
4810,1196.18,282.86,962306.94,1.44,5.36,0.0,4
4811,1400.6,171.32,962510.14,1.32,5.06,0.0,3
4812,1230.4,215.74,962716.31,1.58,4.59,0.0,3
4813,1294.33,144.87,962912.88,1.32,5.13,0.0,5
4814,1230.05,213.03,963110.5,1.35,5.29,0.0,3
4815,1300.69,152.48,963300.76,1.75,5.99,0.0,1
4816,1248.47,292.44,963494.32,1.59,5.25,0.0,5
4817,1178.06,119.04,963700.36,1.29,4.88,0.0,3
4818,1175.97,169.14,963897.71,1.29,4.76,0.0,4
4819,1177.16,151.68,964091.09,1.52,5.32,0.0,0
4820,1265.78,177.49,964287.21,1.81,4.66,0.0,3
4821,1202.44,205.44,964487.02,1.4,4.92,0.0,1
4822,1198.33,184.25,964689.1,1.69,5.17,0.0,3
4823,1208.04,231.05,964891.01,1.66,4.79,0.0,1
4824,1227.45,257.82,965096.43,1.43,4.58,0.0,1
4825,1356.32,135.24,965313.49,1.19,4.57,0.0,4
4826,1107.34,103.62,965522.16,1.36,4.72,0.0,3
4827,1307.86,287.78,965721.67,1.48,5.01,0.0,1
4828,1157.38,172.56,965920.3,1.4,5.17,0.0,0
4829,1166.49,218.46,966116.12,1.51,5.39,0.0,3
4830,1185.17,131.61,966316.79,1.18,5.28,0.0,2
4831,1064.54,254.23,966520.45,1.58,5.82,0.0,0
4832,1136.52,186.05,966718.63,1.61,5.26,0.0,5
4833,1186.41,233.91,966920.24,1.45,5.14,0.0,5
4834,1140.32,215.96,967121.63,1.19,4.5,0.0,5
4835,1329.71,259.16,967325.59,1.42,5.29,0.0,4
4836,1117.59,126.16,967522.84,1.64,4.56,0.0,1
4837,1183.27,222.59,967720.66,1.36,5.28,0.0,2
4838,1139.6,284.76,967914.48,1.59,4.98,0.0,5
4839,1325.13,132.74,968116.25,1.27,4.36,0.0,3
4840,1065.71,215.37,968315.62,1.15,5.36,0.0,1
4841,1241.53,292.0,968525.48,1.83,3.62,0.0,2
4842,1319.69,121.49,968733.02,1.53,5.02,0.0,5
4843,1340.77,108.66,968938.39,1.1,5.11,0.0,2
4844,1217.69,138.05,969142.15,1.95,4.85,0.0,0
4845,1372.83,104.37,969345.01,1.28,4.97,0.0,3
4846,1104.83,214.0,969545.24,1.16,5.92,0.0,0
4847,1144.84,236.53,969748.37,1.3,4.66,0.0,2
4848,1146.09,101.1,969956.94,1.48,5.75,0.0,0
4849,1225.73,189.75,970161.46,1.2,5.18,0.0,0
4850,988.61,174.43,970360.48,1.29,4.85,0.0,5
4851,1294.85,253.83,970560.56,1.6,5.47,0.0,3
4852,1323.13,256.62,970758.24,1.46,5.96,0.0,2
4853,1171.18,247.19,970952.4,1.71,5.61,0.0,4
4854,1325.82,100.34,971141.26,1.6,4.88,0.0,5
4855,1257.38,137.63,971345.33,1.55,4.45,0.0,1
4856,1102.31,101.97,971542.59,1.7,4.89,0.0,0
4857,1130.9,298.05,971748.23,1.87,5.77,0.0,1
4858,1149.27,287.04,971950.37,1.72,5.46,0.0,0
4859,1232.88,203.84,972148.2,1.54,4.77,0.0,5
4860,1294.06,144.94,972351.18,1.37,5.25,0.0,2
4861,1267.2,219.19,972548.32,1.02,4.71,0.0,5
4862,1137.97,147.8,972748.85,1.89,4.86,0.0,3
4863,1211.28,185.08,972947.65,1.48,4.73,0.0,5
4864,1138.68,270.01,973145.68,1.36,4.84,0.0,4
4865,1358.23,201.46,973357.2,1.13,5.8,0.0,3
4866,1161.56,270.95,973552.45,1.47,4.84,0.0,5
4867,1193.26,273.67,973749.21,1.58,5.05,0.0,5
4868,1171.66,210.07,973943.94,1.68,4.94,0.0,1
4869,1080.05,268.76,974144.11,1.48,4.61,0.0,1
4870,1192.1,188.12,974340.21,1.26,4.33,0.0,2
4871,1282.19,275.95,974545.05,1.44,4.67,0.0,2
4872,1182.92,130.07,974754.57,1.66,5.07,0.0,2
4873,1034.9,178.47,974955.83,1.4,4.85,0.0,0
4874,1179.14,284.63,975156.75,0.89,5.36,0.0,5
4875,1128.91,138.77,975355.55,1.59,4.74,0.0,5
4876,1205.23,251.06,975552.93,1.6,5.17,0.0,2
4877,1296.54,179.54,975747.16,1.49,4.94,0.0,3
4878,1129.98,257.65,975949.48,1.38,4.9,0.0,4
4879,1184.45,162.02,976151.91,1.43,5.43,0.0,5
4880,1204.64,197.66,976362.44,1.41,3.92,0.0,3
4881,1057.23,118.91,976554.5,1.34,5.18,0.0,3
4882,1235.29,207.11,976757.89,1.52,4.16,0.0,4
4883,1170.58,146.34,976962.43,1.22,4.93,0.0,2
4884,1104.37,137.91,977164.77,1.36,4.57,0.0,2
4885,1065.42,146.75,977361.9,1.46,4.96,0.0,5
4886,1195.75,250.95,977566.28,1.24,4.92,0.0,4
4887,1282.05,198.18,977770.0,1.58,4.75,0.0,3
4888,1249.1,126.84,977970.2,1.46,5.01,0.0,0
4889,1082.2,195.92,978158.86,1.43,4.07,0.0,4
4890,1165.89,286.96,978362.4,1.71,4.84,0.0,2
4891,1245.87,280.8,978563.45,1.67,5.3,0.0,0
4892,1319.28,127.94,978755.21,1.42,5.5,0.0,2
4893,1350.76,198.35,978949.12,1.16,4.71,0.0,2
4894,1221.59,199.3,979145.05,1.3,4.44,0.0,4
4895,1307.62,250.43,979343.64,1.66,5.06,0.0,0
4896,1060.06,207.43,979544.83,1.77,4.78,0.0,5
4897,1250.86,120.62,979748.72,1.49,5.11,0.0,3
4898,1359.24,293.98,979952.36,1.47,4.92,0.0,0
4899,1195.86,282.94,980145.58,1.85,5.31,0.0,3
4900,1337.59,210.66,980351.93,1.61,5.25,0.0,1
4901,1335.56,162.82,980551.24,1.21,3.41,0.0,2
4902,1262.53,169.86,980749.3,1.29,4.93,0.0,0
4903,1367.55,238.92,980942.21,1.29,5.34,0.0,3
4904,1170.98,112.87,981143.91,1.47,5.19,0.0,3
4905,1177.1,117.16,981339.5,1.5,5.15,0.0,1
4906,1352.46,274.61,981529.79,1.76,5.36,0.0,2
4907,1238.92,191.25,981736.84,1.37,5.13,0.0,0
4908,1075.71,147.84,981938.94,1.19,4.48,0.0,4
4909,1202.71,209.18,982140.56,1.35,4.18,0.0,5
4910,1498.0,108.52,982340.58,1.59,5.52,0.0,3
4911,963.12,220.68,982538.53,1.37,5.51,0.0,4
4912,1332.22,224.37,982737.72,1.54,5.16,0.0,2
4913,1149.13,288.55,982935.77,1.66,5.64,0.0,3
4914,1252.84,173.67,983138.73,1.47,5.12,0.0,5
4915,1282.52,243.62,983339.12,1.35,4.62,0.0,3
4916,1065.16,101.96,983540.41,1.37,4.75,0.0,2
4917,1044.19,126.82,983736.61,1.55,5.03,0.0,5
4918,1113.01,251.69,983934.2,1.32,4.58,0.0,3
4919,1190.22,265.17,984136.14,1.38,4.42,0.0,3
4920,1031.75,266.41,984327.1,1.26,4.45,0.0,3
4921,1265.63,258.3,984530.32,1.34,4.73,0.0,2
4922,1259.22,253.75,984727.83,1.43,5.46,0.0,2
4923,1229.83,107.45,984929.32,1.48,5.24,0.0,1
4924,1222.48,129.0,985133.13,1.89,5.84,0.0,5
4925,1068.11,180.54,985334.47,1.52,4.75,0.0,5
4926,1168.41,238.56,985544.47,1.62,4.52,0.0,0
4927,1204.17,269.23,985746.29,1.3,5.74,0.0,0
4928,1277.35,242.59,985944.99,1.65,5.37,0.0,5
4929,1213.1,126.62,986139.42,1.55,3.77,0.0,1
4930,1366.72,298.13,986335.31,1.8,4.34,0.0,5
4931,1262.44,140.02,986541.26,1.41,4.83,0.0,4
4932,1205.46,233.78,986740.29,1.28,5.45,0.0,3
4933,1245.24,111.47,986931.7,1.29,6.02,0.0,4
4934,1361.48,186.43,987132.71,1.25,5.51,0.0,0
4935,1087.32,246.1,987329.8,1.44,5.08,0.0,0
4936,1163.99,118.07,987532.48,1.74,4.86,0.0,0
4937,1165.03,286.37,987725.0,1.59,4.49,0.0,3
4938,1132.92,161.79,987929.94,1.61,4.86,0.0,2
4939,1104.34,143.47,988125.58,1.38,4.97,0.0,3
4940,1259.79,118.37,988320.89,1.58,4.81,0.0,4
4941,1154.32,221.87,988522.84,1.76,5.12,0.0,4
4942,1261.11,123.63,988726.17,1.11,4.61,0.0,3
4943,1153.95,270.89,988936.36,1.28,5.29,0.0,3
4944,1073.8,244.3,989140.96,1.76,4.07,0.0,4
4945,1319.8,116.36,989330.47,1.54,5.14,0.0,0
4946,1379.84,299.36,989525.38,1.36,4.31,0.0,1
4947,1222.47,285.92,989735.46,1.54,4.25,0.0,4
4948,1252.31,299.05,989937.59,1.58,4.81,0.0,0
4949,1373.68,122.84,990130.76,1.37,3.96,0.0,2
4950,1250.87,143.58,990334.85,1.55,4.1,0.0,4
4951,1316.5,199.98,990535.56,1.48,4.83,0.0,0
4952,1271.31,215.76,990731.56,1.82,5.87,0.0,4
4953,1332.0,137.1,990930.22,1.61,5.42,0.0,1
4954,1231.11,290.17,991134.04,1.48,5.52,0.0,4
4955,1229.89,294.81,991332.36,1.46,5.75,0.0,1
4956,1260.87,138.17,991533.57,1.52,5.53,0.0,2
4957,1065.05,196.27,991732.51,1.54,5.08,0.0,3
4958,1112.67,155.37,991930.14,1.59,4.95,0.0,5
4959,1336.1,205.99,992138.47,1.29,5.08,0.0,3
4960,1342.07,192.22,992346.31,1.54,4.97,0.0,3
4961,1243.04,195.24,992547.23,1.34,4.96,0.0,2
4962,1104.8,274.4,992749.55,1.51,4.44,0.0,5
4963,1320.28,296.24,992946.84,1.34,5.71,0.0,0
4964,1207.99,115.2,993154.21,1.69,4.79,0.0,4
4965,1082.97,105.69,993347.41,1.6,3.96,0.0,0
4966,1261.95,232.0,993544.35,1.69,5.02,0.0,0
4967,1289.25,134.28,993737.92,1.5,5.49,0.0,0
4968,1287.61,100.3,993941.5,1.55,4.57,0.0,1
4969,1169.04,243.54,994137.4,1.56,4.66,0.0,0
4970,1148.04,260.87,994333.32,1.73,4.71,0.0,0
4971,1069.31,218.02,994527.72,1.33,5.39,0.0,3
4972,1351.96,198.12,994726.93,1.56,4.51,0.0,4
4973,1221.29,108.87,994929.28,1.41,4.04,0.0,1
4974,1356.65,200.47,995125.75,1.53,5.34,0.0,0
4975,1174.11,225.12,995327.89,1.61,5.08,0.0,2
4976,1371.15,279.24,995526.15,1.37,4.62,0.0,3
4977,1017.92,187.57,995722.56,1.7,5.35,0.0,2
4978,1216.35,146.17,995928.73,1.83,4.48,0.0,0
4979,1118.69,105.42,996129.38,1.74,4.84,0.0,1
4980,1139.46,236.53,996324.82,1.6,4.54,0.0,1
4981,1067.25,266.54,996524.24,1.56,4.13,0.0,2
4982,1135.58,161.24,996723.74,1.43,4.16,0.0,5
4983,1390.89,223.4,996924.48,1.33,4.97,0.0,0
4984,1143.65,231.94,997124.34,1.76,4.62,0.0,1
4985,1308.25,104.66,997323.78,1.13,5.32,0.0,0
4986,1004.81,149.98,997520.61,1.41,4.29,0.0,5
4987,1444.12,239.65,997725.79,1.69,5.41,0.0,5
4988,1198.27,299.96,997931.8,1.61,5.18,0.0,3
4989,1291.23,159.9,998133.25,0.7,5.2,0.0,5
4990,1323.97,284.91,998337.69,1.27,5.1,0.0,0
4991,1142.66,196.36,998531.08,1.58,5.66,0.0,0
4992,1242.49,122.69,998724.77,1.36,5.66,0.0,4
4993,1172.87,198.32,998923.03,1.48,4.26,0.0,5
4994,1131.64,162.82,999136.18,1.73,5.12,0.0,2
4995,1046.26,235.48,999335.79,1.39,3.91,0.0,3
4996,1189.86,103.95,999535.78,1.18,5.52,0.0,0
4997,1274.67,244.98,999732.4,1.97,5.21,0.0,5
4998,1292.92,258.69,999931.18,1.37,6.25,0.0,2
4999,1222.94,181.63,1000135.26,1.12,4.64,0.0,4
5000,1241.44,248.86,1000342.57,1.32,4.37,0.0,4
5001,1230.97,268.47,1000534.73,1.61,5.36,0.0,1
5002,1126.25,183.86,1000734.06,1.57,4.47,0.0,4
5003,1046.31,232.37,1000933.24,1.1,4.93,0.0,1
5004,1143.77,216.75,1001141.11,1.62,5.65,0.0,5
5005,1040.05,255.58,1001341.66,1.46,5.71,0.0,3
5006,1282.44,106.33,1001548.68,1.56,5.19,0.0,5
5007,1449.15,237.85,1001740.51,1.71,4.85,0.0,5
5008,1301.19,152.93,1001940.6,1.35,3.94,0.0,0
5009,1171.88,219.14,1002145.68,1.61,5.79,0.0,3
5010,1201.67,264.89,1002337.21,1.35,4.78,0.0,0
5011,1315.39,207.08,1002537.58,1.67,5.06,0.0,2
5012,1139.91,232.43,1002744.79,1.39,5.64,0.0,2
5013,1213.29,262.16,1002946.07,1.9,4.78,0.0,2
5014,983.0,107.36,1003142.77,1.49,5.43,0.0,1
5015,1088.34,206.61,1003341.5,1.97,6.03,0.0,1
5016,1143.06,185.46,1003536.78,1.4,5.29,0.0,4
5017,1263.63,254.13,1003727.46,1.24,5.73,0.0,1
5018,1123.24,294.12,1003929.0,1.06,5.16,0.0,2
5019,1261.85,184.88,1004131.17,1.73,4.42,0.0,3
5020,1218.32,153.33,1004327.2,1.44,5.73,0.0,5
5021,1385.94,225.66,1004526.0,1.76,4.91,0.0,2
5022,1092.45,206.05,1004728.23,1.47,5.03,0.0,1
5023,998.08,191.61,1004922.69,1.85,4.91,0.0,2
5024,956.25,112.37,1005126.1,1.47,5.7,0.0,1
5025,1185.14,179.09,1005325.53,1.38,5.18,0.0,1
5026,1315.12,214.98,1005518.38,1.82,4.71,0.0,2
5027,1218.53,141.38,1005706.22,1.46,5.82,0.0,1
5028,1265.85,234.44,1005903.93,1.67,4.7,0.0,4
5029,1195.05,199.8,1006099.04,1.36,5.34,0.0,1
5030,1223.74,160.22,1006293.28,1.6,4.75,0.0,0
5031,1048.84,295.24,1006487.72,1.64,6.57,0.0,5
5032,1393.24,184.28,1006684.61,1.66,5.52,0.0,2
5033,1248.24,219.22,1006882.64,1.69,5.06,0.0,2
5034,1068.42,277.05,1007076.71,1.92,5.8,0.0,5
5035,1003.64,221.9,1007278.48,1.48,6.31,0.0,1
5036,1253.31,227.02,1007482.58,1.36,5.35,0.0,1
5037,1189.07,189.26,1007685.14,1.88,5.88,0.0,3
5038,1171.68,115.22,1007885.1,1.48,5.57,0.0,0
5039,1343.37,159.61,1008088.86,1.67,4.73,0.0,2
5040,1143.14,194.77,1008291.22,1.24,5.16,0.0,1
5041,1115.02,186.63,1008497.65,1.51,4.81,0.0,3
5042,1272.44,247.45,1008690.06,1.13,4.63,0.0,0
5043,1260.59,175.19,1008893.73,1.67,4.72,0.0,1
5044,1070.97,267.38,1009092.81,1.54,4.66,0.0,5
5045,1278.94,167.77,1009289.2,1.42,5.26,0.0,3
5046,1396.09,266.41,1009495.85,1.56,4.38,0.0,4
5047,1166.45,219.63,1009701.48,1.6,5.26,0.0,0
5048,1139.24,268.42,1009897.74,1.66,5.67,0.0,3
5049,1127.28,281.87,1010096.42,1.58,4.15,0.0,5
5050,1285.14,290.52,1010296.53,1.49,4.53,0.0,5
5051,1288.84,256.15,1010491.84,1.39,4.55,0.0,3
5052,1088.87,254.99,1010688.22,1.5,4.42,0.0,4
5053,1313.78,120.45,1010888.01,1.62,4.93,0.0,2
5054,1327.55,242.49,1011088.26,1.55,5.48,0.0,4
5055,1229.46,224.97,1011284.53,1.55,5.12,0.0,5
5056,981.43,190.43,1011490.14,1.49,6.24,0.0,3
5057,1279.24,211.32,1011687.56,1.57,5.27,0.0,3
5058,1037.5,253.61,1011885.17,1.51,5.21,0.0,2
5059,1273.98,172.63,1012093.07,1.5,6.31,0.0,3
5060,1301.43,255.8,1012297.09,1.73,4.24,0.0,1
5061,1295.82,124.08,1012508.32,1.72,4.75,0.0,2
5062,938.46,279.97,1012716.99,1.54,5.65,0.0,2
5063,1127.19,148.19,1012904.97,1.65,5.31,0.0,2
5064,1274.25,206.46,1013103.52,1.4,5.11,0.0,4
5065,1191.79,183.27,1013308.83,1.46,5.22,0.0,0
5066,1047.51,115.6,1013513.71,1.38,5.15,0.0,1
5067,1156.18,265.71,1013715.03,1.44,5.55,0.0,2
5068,1199.46,125.98,1013917.64,1.74,4.81,0.0,2
5069,1028.79,202.15,1014114.97,1.27,4.0,0.0,0
5070,1370.56,137.46,1014317.4,0.77,5.57,0.0,1
5071,1281.12,293.91,1014505.27,1.36,5.58,0.0,2
5072,1214.94,229.02,1014711.55,1.92,4.39,0.0,5
5073,1126.45,151.45,1014912.56,1.58,5.39,0.0,0
5074,1168.7,263.85,1015115.67,1.69,5.12,0.0,3
5075,1134.66,106.63,1015319.21,1.63,4.63,0.0,0
5076,1100.88,160.29,1015513.12,1.7,4.78,0.0,1
5077,1214.9,215.75,1015710.54,1.62,5.4,0.0,2
5078,1310.33,147.82,1015912.54,1.42,4.79,0.0,4
5079,1181.0,259.24,1016113.81,1.71,5.19,0.0,3
5080,1158.77,273.93,1016310.91,1.78,4.09,0.0,5
5081,1217.86,208.5,1016507.78,1.74,5.29,0.0,5
5082,1278.17,258.45,1016702.94,1.73,4.98,0.0,0
5083,1147.54,276.85,1016903.99,1.75,4.62,0.0,1
5084,1061.89,110.2,1017099.93,1.52,5.35,0.0,2
5085,1294.55,206.34,1017303.86,1.64,3.87,0.0,5
5086,1063.83,285.66,1017506.38,1.17,5.26,0.0,5
5087,1253.5,109.57,1017706.09,1.28,4.77,0.0,4
5088,1190.4,261.64,1017914.19,1.72,4.73,0.0,4
5089,1110.36,110.44,1018113.78,1.05,4.16,0.0,0
5090,1338.72,218.72,1018323.44,1.75,4.68,0.0,3
5091,1299.74,297.71,1018532.42,1.72,4.98,0.0,0
5092,1257.65,184.43,1018733.64,1.58,5.56,0.0,5
5093,1244.0,260.75,1018936.02,1.58,5.57,0.0,4
5094,1247.55,215.22,1019122.86,1.46,4.97,0.0,1
5095,1101.64,223.42,1019322.56,1.36,4.39,0.0,5
5096,1143.8,220.74,1019524.63,1.68,5.35,0.0,5
5097,1035.9,232.22,1019710.51,1.5,4.46,0.0,0
5098,1229.23,107.27,1019914.79,1.11,5.07,0.0,3
5099,1343.31,204.25,1020116.49,1.09,3.54,0.0,3
5100,1161.63,274.73,1020309.88,1.44,5.32,0.0,2
5101,1223.75,139.24,1020509.3,1.37,4.11,0.0,4
5102,1146.72,117.43,1020709.61,1.64,5.35,0.0,5
5103,1152.88,186.05,1020904.99,1.68,5.03,0.0,2
5104,1165.99,208.38,1021101.1,1.46,4.07,0.0,1
5105,1053.68,181.29,1021304.23,1.35,5.52,0.0,5
5106,1313.86,243.16,1021507.46,1.33,4.93,0.0,3
5107,1199.5,104.87,1021706.03,1.62,4.57,0.0,2
5108,1297.16,177.76,1021908.46,1.58,5.0,0.0,0
5109,1230.23,131.14,1022099.86,1.8,4.9,0.0,1
5110,1119.38,114.04,1022301.38,1.49,4.94,0.0,2
5111,1168.31,107.3,1022497.63,0.99,4.59,0.0,4
5112,1041.31,144.65,1022698.85,1.55,4.69,0.0,2
5113,1278.87,182.54,1022897.52,1.14,4.53,0.0,1
5114,1213.72,281.63,1023095.57,1.86,5.23,0.0,4
5115,1121.48,123.35,1023295.97,1.7,5.38,0.0,2
5116,1049.34,273.46,1023501.85,1.66,5.33,0.0,3
5117,1142.36,208.99,1023687.36,1.57,4.93,0.0,3
5118,1089.27,232.1,1023890.07,1.41,5.58,0.0,1
5119,1213.53,277.75,1024092.99,1.97,5.51,0.0,3
5120,1094.72,182.9,1024295.5,1.85,5.2,0.0,2
5121,1405.23,176.02,1024493.03,1.76,4.8,0.0,3
5122,1298.53,286.67,1024685.9,1.45,4.96,0.0,0
5123,1162.72,231.71,1024894.74,1.19,5.24,0.0,1
5124,1051.38,246.94,1025103.44,1.4,5.14,0.0,5
5125,1188.83,165.42,1025301.51,1.47,5.06,0.0,4
5126,1004.04,240.69,1025496.69,1.74,4.79,0.0,4
5127,1306.07,124.36,1025695.85,1.47,4.84,0.0,5
5128,1279.13,144.37,1025896.76,1.65,4.83,0.0,4
5129,1344.86,249.55,1026099.91,1.31,5.24,0.0,2
5130,1144.33,241.61,1026297.61,1.28,5.24,0.0,2
5131,1280.56,175.97,1026495.5,1.41,5.12,0.0,0
5132,1338.4,271.02,1026697.74,1.37,4.48,0.0,0
5133,1156.43,154.38,1026887.86,1.59,5.53,0.0,3
5134,1126.62,297.08,1027083.74,1.41,4.95,0.0,2
5135,1334.81,119.4,1027280.69,1.51,5.09,0.0,1
5136,1214.55,278.09,1027478.85,1.69,5.2,0.0,0
5137,1242.53,166.0,1027675.13,1.18,4.66,0.0,1
5138,1191.2,120.71,1027887.16,1.49,5.11,0.0,2
5139,1075.15,293.9,1028092.69,1.18,4.47,0.0,4
5140,1310.46,154.41,1028304.75,1.56,5.11,0.0,0
5141,997.06,288.02,1028506.2,1.52,5.15,0.0,3
5142,1299.8,261.6,1028706.04,1.42,5.43,0.0,4
5143,1172.08,220.2,1028905.09,1.61,5.0,0.0,2
5144,1181.24,216.42,1029099.29,1.14,5.28,0.0,2
5145,1146.75,142.88,1029304.81,1.51,5.22,0.0,4
5146,1252.69,271.5,1029502.7,1.52,4.65,0.0,2
5147,1240.87,272.84,1029703.35,1.67,5.17,0.0,5
5148,1361.15,139.41,1029905.33,1.52,5.16,0.0,3
5149,1181.59,202.17,1030104.52,1.11,5.64,0.0,1
5150,1181.79,184.05,1030309.68,1.39,4.63,0.0,5
5151,1164.62,125.2,1030500.96,1.75,5.17,0.0,5
5152,1210.39,162.77,1030702.2,1.8,5.38,0.0,3
5153,1155.1,117.7,1030904.7,1.4,5.18,0.0,2
5154,1315.53,198.58,1031099.25,1.31,5.12,0.0,0
5155,1337.04,187.04,1031305.71,1.67,4.02,0.0,3
5156,1007.76,290.43,1031506.34,1.39,5.36,0.0,2
5157,1071.11,174.55,1031701.62,1.54,5.19,0.0,1
5158,1098.12,212.25,1031904.22,1.52,4.11,0.0,5
5159,1266.16,275.59,1032108.29,1.29,4.53,0.0,5
5160,1110.8,272.52,1032305.6,1.59,6.51,0.0,3
5161,1255.19,147.58,1032506.83,1.54,5.73,0.0,5
5162,1337.13,210.98,1032703.35,1.21,5.31,0.0,4
5163,1277.09,255.0,1032907.87,1.56,5.35,0.0,1
5164,1095.52,173.93,1033099.36,1.23,5.32,0.0,3
5165,1080.01,254.13,1033300.1,1.45,4.31,0.0,4
5166,933.19,179.84,1033508.36,1.14,4.12,0.0,0
5167,1249.0,210.4,1033706.86,1.61,5.27,0.0,5
5168,1074.5,230.59,1033910.0,1.61,5.0,0.0,3
5169,1204.24,157.71,1034109.61,0.98,5.44,0.0,2
5170,1223.08,213.97,1034306.78,1.69,5.47,0.0,5
5171,1069.02,110.2,1034512.46,1.65,5.08,0.0,5
5172,1294.34,148.44,1034711.76,1.37,4.58,0.0,1
5173,1096.4,283.86,1034915.48,1.42,5.47,0.0,4
5174,1140.58,187.24,1035113.14,1.68,4.93,0.0,4
5175,1081.77,290.94,1035318.2,1.9,4.21,0.0,2
5176,1204.9,131.86,1035517.54,1.78,4.82,0.0,0
5177,1133.54,198.05,1035716.15,1.39,5.21,0.0,3
5178,1427.01,210.52,1035913.36,1.18,5.08,0.0,1
5179,1135.64,155.86,1036097.95,1.27,4.91,0.0,0
5180,1218.64,279.3,1036301.27,1.36,5.39,0.0,1
5181,1171.97,274.29,1036498.81,1.29,5.22,0.0,1
5182,1288.67,191.42,1036700.26,1.14,5.03,0.0,1
5183,1200.39,130.15,1036899.78,1.44,3.89,0.0,3
5184,1053.82,210.24,1037101.97,1.43,4.69,0.0,5
5185,1219.89,222.25,1037296.75,1.45,4.41,0.0,0
5186,1244.0,169.14,1037496.04,1.37,5.34,0.0,1
5187,1072.09,184.39,1037696.27,1.3,5.51,0.0,3
5188,1095.72,214.85,1037895.99,1.15,6.52,0.0,4
5189,1134.44,243.21,1038093.71,1.44,4.6,0.0,1
5190,1225.72,113.21,1038284.08,1.48,5.48,0.0,1
5191,1164.32,104.93,1038473.79,1.53,5.66,0.0,3
5192,974.78,157.94,1038673.63,1.76,5.59,0.0,2
5193,1123.97,206.62,1038874.09,1.77,4.51,0.0,4
5194,1313.52,102.63,1039080.86,1.72,6.03,0.0,0
5195,1263.27,277.38,1039280.8,1.69,4.8,0.0,0
5196,1265.39,215.31,1039481.32,1.63,4.91,0.0,3
5197,1194.39,299.54,1039682.69,1.23,4.64,0.0,2
5198,1417.3,278.21,1039877.35,1.47,4.29,0.0,2
5199,1193.13,214.42,1040070.55,1.54,4.71,0.0,2
5200,1176.87,198.57,1040268.66,1.29,4.42,0.0,4
